x,vx,y,vy
1.454637382207402823e+02,3.489474617446502691e+01,1.387098913596751970e+02,2.621401780429183859e+01
1.455769638471301164e+02,3.540604467503225550e+01,1.436480814420038996e+02,2.690864845585774034e+01
1.494113160230587027e+02,3.600142921622929038e+01,1.452466903504694926e+02,2.776832756185207884e+01
1.539639942090534817e+02,3.662405976408697228e+01,1.491005998728065833e+02,2.862464536353714450e+01
1.610769912368116366e+02,3.725156231302042187e+01,1.499784019779385744e+02,2.940775895938287121e+01
1.650262264605756570e+02,3.784015869204164062e+01,1.537813631653194193e+02,3.019419253024384275e+01
1.646809080273278312e+02,3.847300284598637887e+01,1.586416466392153382e+02,3.090774846201584936e+01
1.704563265692600851e+02,3.899806787989484747e+01,1.585865959515613213e+02,3.168139760744189459e+01
1.750373125146787174e+02,3.967324370174255677e+01,1.621821152666702233e+02,3.262026003653102890e+01
1.796165690481687705e+02,4.015818332566314552e+01,1.675747964967671066e+02,3.340860302706970231e+01
1.810363380534664941e+02,4.078696217602991680e+01,1.697089978210995014e+02,3.408840672622971368e+01
1.861938599454731218e+02,4.143939460797260210e+01,1.746622848255587996e+02,3.493227189985515224e+01
1.905460549804991217e+02,4.204663385453225999e+01,1.795686340300439383e+02,3.570538820697200322e+01
1.946990295786351908e+02,4.270860961020354551e+01,1.821207473492416682e+02,3.654031461410718151e+01
2.007606355836465184e+02,4.326990547051745750e+01,1.824313697691688958e+02,3.736763951749173174e+01
2.015025402157338021e+02,4.378643135031885691e+01,1.898431287211081440e+02,3.820279122406758177e+01
2.056412275810031076e+02,4.451022694834566096e+01,1.903625157888623676e+02,3.888449132230773131e+01
2.126413399579594170e+02,4.498662539796590210e+01,1.988523377067955664e+02,3.977325045956416005e+01
2.149471011004674210e+02,4.560508431493810377e+01,2.005880208968019076e+02,4.061288283693031076e+01
2.231104189399338509e+02,4.613925025620538634e+01,2.026561236782505659e+02,4.131429939313689204e+01
2.277743516599606437e+02,4.679912229814551949e+01,2.083721612384331365e+02,4.223129900098818013e+01
2.294025662640379721e+02,4.733011950804100110e+01,2.141799267934023021e+02,4.288921600453063121e+01
2.361286616219430812e+02,4.799546678360677987e+01,2.158589386211331487e+02,4.371605660479163191e+01
2.404562369431446314e+02,4.869364985637865573e+01,2.238934312056052249e+02,4.460938733348466201e+01
2.437812510725442223e+02,4.915414186189696011e+01,2.250857615390446256e+02,4.534318036572294375e+01
2.482158632767421409e+02,4.984943003092470803e+01,2.305860833481687848e+02,4.622954355428718287e+01
2.534450503384803994e+02,5.039820111135304614e+01,2.341653220399899737e+02,4.689730601382408537e+01
2.613061242483721003e+02,5.098539490175993194e+01,2.406226171112972168e+02,4.764735459039861354e+01
2.646631298099486571e+02,5.168223718136471234e+01,2.472806618417561424e+02,4.849180624381821758e+01
2.701405134001777242e+02,5.220426712060120877e+01,2.514916500391954628e+02,4.936856603186033965e+01
2.745934092132183650e+02,5.278509816100336849e+01,2.540428267663672841e+02,5.011803905355196775e+01
2.812020096190498180e+02,5.344392018268004563e+01,2.613301683167652527e+02,5.095983074828986759e+01
2.877220876741531015e+02,5.405321806143336971e+01,2.626731270012617188e+02,5.164119576186809724e+01
2.904200495292594724e+02,5.468305452028641866e+01,2.686147709205246201e+02,5.261285080885521381e+01
2.973835307935003129e+02,5.523374204322214354e+01,2.760662004003210086e+02,5.337659594088022175e+01
3.047268957812889880e+02,5.588346555289065520e+01,2.812797920497576456e+02,5.409259720111781178e+01
3.090043853687060960e+02,5.645051292990824976e+01,2.839555129312846589e+02,5.502856401706127798e+01
3.124773653615750959e+02,5.706594149930030824e+01,2.937811129495706837e+02,5.567784997454693041e+01
